Gene,Takara_1,Takara_2,Takara_3,New_250_1,New_250_2,New_500_1,New_500_2,New_500_3,Old_250_1,Old_250_2,Old_250_3
4933401J01Rik,0,0,0,0,0,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0
Xkr4,31,20,30,30,36,21,27,34,27,35,23
Gm18956,0,0,0,0,0,0,0,0,0,0,0
Gm37180,0,0,0,0,0,0,0,0,0,0,0
Gm37363,0,0,0,0,0,0,0,0,0,0,0
Gm37686,0,0,0,0,0,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0,0,0,0,0,0
Gm7341,0,0,0,0,1,0,0,0,1,0,1
Gm38148,0,0,0,0,0,0,0,0,0,0,0
Gm19938,0,1,0,0,1,1,0,0,1,0,0
Gm10568,0,0,0,0,0,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0,0,0
Gm37381,0,0,0,0,0,0,0,0,0,0,0
Rp1,0,1,0,0,1,1,1,1,0,1,0
Gm6101,0,0,0,0,0,0,0,0,0,0,0
Gm37483,0,0,0,0,0,0,0,0,0,0,0
Sox17,18,66,38,183,147,123,121,50,136,67,46
Gm37587,0,0,0,1,0,0,0,0,0,0,0
Gm7357,1,1,0,3,0,1,1,0,1,1,1
Gm22307,0,0,0,0,0,1,0,0,1,0,0
Gm38076,0,0,0,0,0,0,0,0,0,0,0
Gm37323,0,2,3,1,1,4,1,0,1,0,2
Gm7369,0,0,0,0,0,1,0,0,0,0,0
Gm6085,7,9,5,4,15,0,7,7,6,8,6
Gm6119,0,0,2,3,1,0,0,1,0,2,1
Gm25493,0,0,0,0,0,0,0,0,0,0,0
Gm2053,0,0,0,0,1,0,0,0,1,0,1
Gm6123,77,68,47,100,90,50,81,83,82,90,59
Mrpl15,2274,2101,1759,2222,2508,1910,2114,2179,2495,1911,2093
Gm37144,16,20,17,29,29,23,21,20,25,25,30
Lypla1,1300,1235,1224,1309,1293,864,1227,1192,1298,1317,1236
Gm37988,0,0,0,0,0,0,0,0,0,0,0
Tcea1,1594,1732,1420,1832,2125,1537,1806,1686,2171,1815,1823
Gm6104,25,18,18,30,34,15,17,17,24,24,22
Gm37277,3,4,5,3,1,6,6,5,6,6,4
Rgs20,25,35,33,34,47,27,34,30,31,54,31
Gm17100,0,0,0,0,0,0,0,0,0,0,0
Gm37079,0,0,0,0,0,0,0,0,0,2,0
Gm16041,2,0,0,0,0,0,1,2,0,0,0
Gm17101,0,0,0,0,0,0,0,0,0,0,0
Atp6v1h,1185,1158,1066,1263,1342,875,1166,1123,1259,1210,1097
Gm7182,0,0,0,0,0,0,0,0,0,0,0
Gm37567,2,1,2,12,8,2,12,3,4,3,3
Gm38264,0,0,0,1,0,0,0,0,1,1,0
Oprk1,3,3,2,9,8,6,2,3,7,4,4
Gm36965,0,0,0,0,0,0,0,0,0,0,0
Gm22463,0,0,0,0,0,0,0,0,0,0,0
